"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2025","53.10","53.10","53.10","53.10","10.38M","-10.00%"
"31/07/2025","59.00","59.30","59.25","59.00","6.36M","-0.51%"
"30/07/2025","59.30","60.15","60.20","59.15","10.58M","-1.41%"
"29/07/2025","60.15","61.20","61.00","60.05","7.94M","-1.72%"
"28/07/2025","61.20","60.05","62.80","61.00","10.07M","1.92%"
"25/07/2025","60.05","57.40","62.00","59.00","14.40M","4.62%"
"24/07/2025","57.40","52.20","57.40","54.95","7.73M","9.96%"
"23/07/2025","52.20","51.80","52.20","51.20","16.21M","0.77%"
"22/07/2025","51.80","50.00","52.00","50.00","7.40M","3.60%"
"21/07/2025","50.00","50.50","52.00","50.00","9.13M","-0.99%"
"18/07/2025","50.50","50.50","51.00","50.50","5.14M","0.00%"
"17/07/2025","50.50","52.00","51.50","50.50","3.26M","-2.88%"
"16/07/2025","52.00","52.05","52.00","49.00","12.34M","-0.10%"
"14/07/2025","52.05","51.70","52.50","51.50","8.69M","0.68%"
"11/07/2025","51.70","54.20","53.00","51.00","7.84M","-4.61%"
"10/07/2025","54.20","54.00","55.00","54.00","3.92M","0.37%"
"09/07/2025","54.00","53.90","54.05","53.90","5.49M","0.19%"
"08/07/2025","53.90","55.10","55.00","53.90","6.91M","-2.18%"
"07/07/2025","55.10","55.05","55.10","55.00","2.75M","0.09%"
"04/07/2025","55.05","54.00","55.15","52.00","7.24M","-1.70%"
"03/07/2025","56.00","52.35","56.00","52.00","6.17M","6.97%"
"02/07/2025","52.35","54.95","53.00","50.00","7.94M","-4.73%"
"01/07/2025","54.95","54.95","55.30","51.70","7.67M","0.00%"
"30/06/2025","54.95","56.50","56.70","53.00","371.07M","-2.74%"
"27/06/2025","56.50","61.90","62.00","56.50","11.46M","-1.12%"
"26/06/2025","57.14","63.46","63.60","57.14","11.80M","-9.96%"
"25/06/2025","63.46","63.46","63.46","63.46","12.61M","10.00%"
"24/06/2025","57.69","58.34","59.12","57.69","3.33M","-8.71%"
"23/06/2025","63.20","61.00","65.00","62.50","3.80M","3.61%"
"20/06/2025","61.00","61.90","61.25","61.00","1.98M","-1.45%"
"19/06/2025","61.90","61.00","62.00","61.90","1.99M","1.48%"
"18/06/2025","61.00","58.25","62.00","58.25","3.92M","4.72%"
"17/06/2025","58.25","64.70","60.00","58.25","5.47M","-9.97%"
"16/06/2025","64.70","69.00","71.00","63.00","14.49M","-6.23%"
"13/06/2025","69.00","63.10","69.00","65.00","15.22M","9.35%"
"11/06/2025","63.10","59.35","63.10","59.35","9.91M","6.32%"
"10/06/2025","59.35","56.85","60.00","58.00","10.73M","4.40%"
